date_time,temp,B1F,Heat1F,Heat2F,Heat3F,Heat4F,Heat5F,Heat6F,Heat7F,Heat8F,Heatsum
2022/6/22 15:00,26.7,0,0.396,0.22,0.296,0.181,0.34,0.116,0.273,0.198,2.028
2022/6/22 16:00,26.6,0,0.371,0.217,0.183,0.187,0.346,0.108,0.243,0.177,1.862
2022/6/22 17:00,26.9,0,0.112,0.14,0.139,0.082,0.212,0.064,0.143,0.091,0.974
2022/6/22 18:00,27.6,0,0.043,0.144,0.155,0.069,0.08,0.077,0.2,0.099,0.907
2022/6/22 19:00,27.5,0,0.029,0.122,0.133,0.037,0.049,0.077,0.183,0.083,0.761
2022/6/22 20:00,26.7,0,0,0.042,0.028,0.002,0.013,0.027,0.063,0.034,0.236
2022/6/22 21:00,26.7,0,0,0,0,0,0,0,0,0,0
2022/6/22 22:00,26.4,0,0,0,0,0,0,0,0,0,0
2022/6/22 23:00,26.4,0,0,0,0,0,0,0,0,0,0
2022/6/23 0:00,26.6,0,0,0,0,0,0,0,0,0,0
2022/6/23 1:00,27.5,0,0,0,0,0,0,0,0,0,0
2022/6/23 2:00,27.1,0,0,0,0,0,0,0,0,0,0
2022/6/23 3:00,27.3,0,0,0,0,0,0,0,0,0,0
2022/6/23 4:00,26.6,0,0,0,0,0,0,0,0,0,0
2022/6/23 5:00,27.2,0,0,0,0,0,0,0,0,0,0
2022/6/23 6:00,28.2,0,0,0,0,0,0,0,0,0,0
2022/6/23 7:00,28.4,0,0,0,0,0,0,0,0,0,0
2022/6/23 8:00,29.1,0,0.107,0.001,0.074,0.005,0.029,0.032,0.09,0.029,0.387
2022/6/23 9:00,29.5,0,0.382,0.152,0.296,0.04,0.192,0.103,0.276,0.166,1.635
2022/6/23 10:00,30.6,0,0.367,0.203,0.359,0.147,0.318,0.139,0.251,0.25,2.034
2022/6/23 11:00,31.2,0,0.382,0.207,0.336,0.191,0.356,0.158,0.242,0.257,2.116
2022/6/23 12:00,31.7,0,0.388,0.207,0.362,0.21,0.354,0.156,0.286,0.255,2.195
2022/6/23 13:00,32.3,0,0.406,0.202,0.343,0.224,0.348,0.146,0.276,0.303,2.213
2022/6/23 14:00,31.7,0,0.391,0.197,0.39,0.242,0.35,0.148,0.294,0.297,2.248
2022/6/23 15:00,32.1,0,0.377,0.2,0.385,0.166,0.354,0.172,0.296,0.293,2.24
2022/6/23 16:00,31.6,0,0.286,0.209,0.377,0.114,0.376,0.184,0.308,0.288,2.135
2022/6/23 17:00,31.6,0,0.094,0.19,0.269,0.093,0.341,0.137,0.249,0.202,1.565
2022/6/23 18:00,30.5,0,0.048,0.152,0.231,0.059,0.15,0.114,0.156,0.146,1.052
2022/6/23 19:00,30,0,0.026,0.154,0.143,0.005,0.082,0.083,0.147,0.112,0.814
2022/6/23 20:00,29.7,0,0.009,0.061,0.022,0.001,0.031,0.037,0.054,0.049,0.284
2022/6/23 21:00,29.8,0,0,0,0,0,0,0,0,0,0
2022/6/23 22:00,29.5,0,0,0,0,0,0,0,0,0,0
2022/6/23 23:00,29.4,0,0,0,0,0,0,0,0,0,0
2022/6/24 0:00,29.3,0,0,0,0,0,0,0,0,0,0
2022/6/24 1:00,29.3,0,0,0,0,0,0,0,0,0,0
2022/6/24 2:00,29.2,0,0,0,0,0,0,0,0,0,0
2022/6/24 3:00,29.2,0,0,0,0,0,0,0,0,0,0
2022/6/24 4:00,29.3,0,0,0,0,0,0,0,0,0,0
2022/6/24 5:00,29.2,0,0,0,0,0,0,0,0,0,0
2022/6/24 6:00,29.2,0,0,0,0,0,0,0,0,0,0
2022/6/24 7:00,29.1,0,0,0,0,0,0,0,0,0,0
2022/6/24 8:00,29.2,0,0.124,0.002,0.068,0.003,0.038,0.041,0.067,0.045,0.408
2022/6/24 9:00,29.6,0,0.351,0.137,0.307,0.104,0.232,0.113,0.25,0.185,1.675
2022/6/24 10:00,30.1,0,0.376,0.217,0.377,0.17,0.344,0.109,0.261,0.279,2.186
2022/6/24 11:00,31.5,0,0.4,0.22,0.359,0.219,0.383,0.114,0.303,0.275,2.323
2022/6/24 12:00,30.8,0,0.399,0.214,0.358,0.251,0.387,0.118,0.269,0.284,2.322
2022/6/24 13:00,31.9,0,0.424,0.213,0.367,0.249,0.394,0.115,0.274,0.253,2.321
2022/6/24 14:00,30,0,0.412,0.237,0.37,0.32,0.381,0.133,0.264,0.248,2.401
2022/6/24 15:00,29.1,0,0.409,0.252,0.338,0.298,0.383,0.112,0.23,0.221,2.307
2022/6/24 16:00,29.4,0,0.375,0.245,0.324,0.267,0.375,0.105,0.227,0.202,2.173
2022/6/24 17:00,29.2,0,0.267,0.228,0.289,0.133,0.341,0.105,0.228,0.119,1.78
2022/6/24 18:00,28.3,0,0.22,0.184,0.217,0.029,0.122,0.082,0.16,0.082,1.167
2022/6/24 19:00,28.6,0,0.193,0.165,0.146,0.03,0.072,0.081,0.151,0.065,0.994
2022/6/24 20:00,28,0,0.091,0.051,0.054,0.007,0.025,0.04,0.049,0.029,0.365
2022/6/24 21:00,27.3,0,0,0,0,0,0,0,0,0,0
2022/6/24 22:00,27.8,0,0,0,0,0,0,0,0,0,0
2022/6/24 23:00,27.3,0,0,0,0,0,0,0,0,0,0
