,℃,GJ,GJ
時刻,気温,1系統冷水熱量,2系統冷水熱量
2022/6/28 6:00,28.500 ,0.000 ,0.000 
2022/6/28 7:00,28.500 ,0.000 ,0.000 
2022/6/28 8:00,29.300 ,0.399 ,0.000 
2022/6/28 9:00,30.400 ,0.422 ,0.178 
2022/6/28 10:00,31.400 ,0.406 ,0.260 
2022/6/28 11:00,32.100 ,0.393 ,0.238 
2022/6/28 12:00,32.300 ,0.404 ,0.237 
2022/6/28 13:00,32.800 ,0.418 ,0.226 
2022/6/28 14:00,33.400 ,0.394 ,0.228 
2022/6/28 15:00,33.300 ,0.385 ,0.232 
2022/6/28 16:00,32.900 ,0.369 ,0.239 
2022/6/28 17:00,32.700 ,0.178 ,0.271 
2022/6/28 18:00,31.700 ,0.073 ,0.258 
2022/6/28 19:00,30.500 ,0.037 ,0.236 
2022/6/28 20:00,29.800 ,0.019 ,0.075 
2022/6/28 21:00,29.400 ,0.000 ,0.000 
2022/6/28 22:00,29.200 ,0.000 ,0.000 
2022/6/28 23:00,29.200 ,0.000 ,0.000 
2022/6/29 0:00,29.200 ,0.000 ,0.000 
2022/6/29 1:00,28.600 ,0.000 ,0.000 
2022/6/29 2:00,28.700 ,0.000 ,0.000 
2022/6/29 3:00,28.600 ,0.000 ,0.000 
2022/6/29 4:00,28.300 ,0.000 ,0.000 
2022/6/29 5:00,27.800 ,0.000 ,0.000 
2022/6/29 6:00,27.900 ,0.000 ,0.000 
2022/6/29 7:00,28.500 ,0.020 ,0.000 
2022/6/29 8:00,29.100 ,0.476 ,0.000 
2022/6/29 9:00,30.400 ,0.399 ,0.174 
2022/6/29 10:00,31.600 ,0.378 ,0.237 
2022/6/29 11:00,32.400 ,0.383 ,0.230 
2022/6/29 12:00,33.100 ,0.384 ,0.222 
2022/6/29 13:00,33.400 ,0.403 ,0.221 
2022/6/29 14:00,34.100 ,0.389 ,0.227 
2022/6/29 15:00,33.900 ,0.383 ,0.231 
2022/6/29 16:00,33.400 ,0.389 ,0.230 
2022/6/29 17:00,33.500 ,0.144 ,0.258 
2022/6/29 18:00,32.600 ,0.070 ,0.248 
2022/6/29 19:00,31.800 ,0.052 ,0.199 
2022/6/29 20:00,30.900 ,0.012 ,0.067 
2022/6/29 21:00,30.300 ,0.000 ,0.000 
2022/6/29 22:00,29.700 ,0.000 ,0.000 
2022/6/29 23:00,29.700 ,0.000 ,0.000 
2022/6/30 0:00,28.800 ,0.000 ,0.000 
2022/6/30 1:00,28.700 ,0.000 ,0.000 
2022/6/30 2:00,28.500 ,0.000 ,0.000 
2022/6/30 3:00,28.200 ,0.000 ,0.000 
2022/6/30 4:00,27.500 ,0.000 ,0.000 
2022/6/30 5:00,27.900 ,0.000 ,0.000 
2022/6/30 6:00,27.200 ,0.000 ,0.000 
2022/6/30 7:00,28.200 ,0.074 ,0.003 
2022/6/30 8:00,29.100 ,0.361 ,0.008 
2022/6/30 9:00,30.400 ,0.277 ,0.181 
2022/6/30 10:00,32.400 ,0.389 ,0.233 
2022/6/30 11:00,33.100 ,0.402 ,0.227 
2022/6/30 12:00,33.700 ,0.381 ,0.232 
2022/6/30 13:00,34.600 ,0.410 ,0.247 
2022/6/30 14:00,33.900 ,0.392 ,0.255 
2022/6/30 15:00,31.700 ,0.400 ,0.262 
2022/6/30 16:00,31.200 ,0.388 ,0.269 
2022/6/30 17:00,30.700 ,0.373 ,0.287 
2022/6/30 18:00,29.800 ,0.123 ,0.301 
2022/6/30 19:00,29.500 ,0.043 ,0.250 
2022/6/30 20:00,28.900 ,0.014 ,0.117 
2022/6/30 21:00,28.500 ,0.000 ,0.001 
2022/6/30 22:00,28.800 ,0.000 ,0.000 
2022/6/30 23:00,28.200 ,0.000 ,0.000 
2022/7/1 0:00,28.000 ,0.000 ,0.000 
2022/7/1 1:00,27.800 ,0.000 ,0.000 
2022/7/1 2:00,27.500 ,0.000 ,0.000 
2022/7/1 3:00,26.700 ,0.000 ,0.000 
2022/7/1 4:00,26.600 ,0.000 ,0.000 
2022/7/1 5:00,26.800 ,0.000 ,0.000 
2022/7/1 6:00,27.200 ,0.000 ,0.000 
2022/7/1 7:00,27.900 ,0.096 ,0.000 
