date_time,temp,Heat
2022/7/3 1:00,29.3,0
2022/7/3 2:00,28.7,0
2022/7/3 3:00,28.5,0
2022/7/3 4:00,28.6,0
2022/7/3 5:00,28.4,0
2022/7/3 6:00,28.1,0
2022/7/3 7:00,28.6,0
2022/7/3 8:00,29,0.058
2022/7/3 9:00,30.3,0.041
2022/7/3 10:00,31.1,0.039
2022/7/3 11:00,32.6,0.033
2022/7/3 12:00,32.8,0.034
2022/7/3 13:00,33.1,0.033
2022/7/3 14:00,34,0.034
2022/7/3 15:00,33.1,0.033
2022/7/3 16:00,32.6,0.033
2022/7/3 17:00,32.5,0.034
2022/7/3 18:00,31.8,0.003
2022/7/3 19:00,30.4,0
2022/7/3 20:00,31.1,0
2022/7/3 21:00,30.8,0
2022/7/3 22:00,30.3,0
2022/7/3 23:00,30.1,0
2022/7/4 0:00,29.7,0
2022/7/4 1:00,29.4,0
2022/7/4 2:00,28.7,0
2022/7/4 3:00,25.9,0
2022/7/4 4:00,26.7,0
2022/7/4 5:00,26.8,0
2022/7/4 6:00,27.3,0
2022/7/4 7:00,27.9,0.145
2022/7/4 8:00,29.1,0.479
2022/7/4 9:00,29,0.408
2022/7/4 10:00,29.1,0.388
2022/7/4 11:00,30.2,0.418
2022/7/4 12:00,30.9,0.414
2022/7/4 13:00,31.1,0.443
2022/7/4 14:00,30,0.412
2022/7/4 15:00,31.4,0.399
2022/7/4 16:00,31,0.21
2022/7/4 17:00,25.9,0.124
2022/7/4 18:00,27.5,0.081
2022/7/4 19:00,28.6,0.065
2022/7/4 20:00,25.8,0.017
2022/7/4 21:00,25.5,0
2022/7/4 22:00,26.1,0
2022/7/4 23:00,26.3,0
2022/7/5 0:00,26.3,0
2022/7/5 1:00,26.5,0
2022/7/5 2:00,26.4,0
2022/7/5 3:00,26.4,0
2022/7/5 4:00,26.3,0
2022/7/5 5:00,26.4,0
2022/7/5 6:00,26.2,0
2022/7/5 7:00,26,0
2022/7/5 8:00,26.5,0
2022/7/5 9:00,27.4,0
2022/7/5 10:00,28.1,0
2022/7/5 11:00,28.2,0
2022/7/5 12:00,28.8,0
2022/7/5 13:00,28.5,0
2022/7/5 14:00,27.9,0
2022/7/5 15:00,27.6,0
2022/7/5 16:00,27.7,0
2022/7/5 17:00,28.2,0
2022/7/5 18:00,28,0
2022/7/5 19:00,27.6,0
2022/7/5 20:00,27.7,0
2022/7/5 21:00,27.6,0
2022/7/5 22:00,27.7,0
2022/7/5 23:00,27.6,0
2022/7/6 0:00,27.1,0
2022/7/6 1:00,27.2,0
2022/7/6 2:00,27.1,0
2022/7/6 3:00,26.9,0
2022/7/6 4:00,26.8,0
2022/7/6 5:00,26.6,0
2022/7/6 6:00,26.4,0
2022/7/6 7:00,26.7,0.141
2022/7/6 8:00,27.7,0.531
2022/7/6 9:00,27.4,0.434
2022/7/6 10:00,27.4,0.391
2022/7/6 11:00,28.5,0.398
2022/7/6 12:00,29.1,0.384
2022/7/6 13:00,29.7,0.427
2022/7/6 14:00,31.2,0.409
2022/7/6 15:00,29.9,0.407
2022/7/6 16:00,30.6,0.385
2022/7/6 17:00,30.4,0.352
2022/7/6 18:00,29.3,0.102
2022/7/6 19:00,28.8,0.056
2022/7/6 20:00,28.4,0.013
2022/7/6 21:00,28.4,0
2022/7/6 22:00,28,0
2022/7/6 23:00,27.9,0
2022/7/7 0:00,28,0
2022/7/7 1:00,27.8,0
2022/7/7 2:00,27.7,0
2022/7/7 3:00,27.8,0
2022/7/7 4:00,27.3,0
2022/7/7 5:00,26.9,0
2022/7/7 6:00,26.9,0
2022/7/7 7:00,27.5,0.096
2022/7/7 8:00,28.9,0.467
2022/7/7 9:00,30.3,0.477
2022/7/7 10:00,32.3,0.458
2022/7/7 11:00,33,0.443
2022/7/7 12:00,31.9,0.436
2022/7/7 13:00,32,0.462
2022/7/7 14:00,32.3,0.418
2022/7/7 15:00,31.4,0.41
2022/7/7 16:00,31.4,0.408
2022/7/7 17:00,30.8,0.171
2022/7/7 18:00,29.9,0.092
2022/7/7 19:00,30,0.053
2022/7/7 20:00,29.2,0.014
2022/7/7 21:00,28.8,0
2022/7/7 22:00,28.6,0
2022/7/7 23:00,28.5,0
2022/7/8 0:00,28.1,0
2022/7/8 1:00,27.9,0
2022/7/8 2:00,28.4,0
2022/7/8 3:00,27.9,0
2022/7/8 4:00,27.9,0
2022/7/8 5:00,27.7,0
2022/7/8 6:00,27.8,0
2022/7/8 7:00,28.3,0.085
2022/7/8 8:00,29.5,0.512
2022/7/8 9:00,31.2,0.417
2022/7/8 10:00,31.7,0.414
2022/7/8 11:00,32.6,0.438
2022/7/8 12:00,31.6,0.44
2022/7/8 13:00,32.6,0.46
2022/7/8 14:00,29.8,0.445
2022/7/8 15:00,32.3,0.414
2022/7/8 16:00,33.8,0.335
2022/7/8 17:00,32.5,0.125
2022/7/8 18:00,31.7,0.092
2022/7/8 19:00,30.8,0.076
2022/7/8 20:00,30.3,0.025
2022/7/8 21:00,29.8,0
2022/7/8 22:00,29,0
2022/7/8 23:00,27.7,0
2022/7/9 0:00,27.1,0
2022/7/9 1:00,27.2,0
2022/7/9 2:00,27.3,0
2022/7/9 3:00,27.2,0
2022/7/9 4:00,27.9,0
2022/7/9 5:00,27.7,0
2022/7/9 6:00,27.5,0
2022/7/9 7:00,27.7,0
2022/7/9 8:00,28.1,0.003
2022/7/9 9:00,28.5,0.08
2022/7/9 10:00,29.9,0.045
2022/7/9 11:00,30.8,0.042
2022/7/9 12:00,30.7,0.052
2022/7/9 13:00,30.9,0.052
2022/7/9 14:00,31.5,0.042
2022/7/9 15:00,31.3,0.045
2022/7/9 16:00,30.4,0.053
2022/7/9 17:00,29.8,0.053
2022/7/9 18:00,29.1,0.033
2022/7/9 19:00,27.8,0
2022/7/9 20:00,27.6,0
2022/7/9 21:00,27.4,0
2022/7/9 22:00,27.4,0
2022/7/9 23:00,27.5,0
2022/7/10 0:00,27.3,0
2022/7/10 1:00,26.8,0
2022/7/10 2:00,26.6,0
2022/7/10 3:00,26.2,0
2022/7/10 4:00,26.1,0
2022/7/10 5:00,25.9,0
2022/7/10 6:00,26.2,0
2022/7/10 7:00,26.9,0
2022/7/10 8:00,28.1,0
2022/7/10 9:00,28.5,0
2022/7/10 10:00,30.1,0
2022/7/10 11:00,30.1,0
2022/7/10 12:00,31,0
2022/7/10 13:00,31.7,0
2022/7/10 14:00,31.4,0
2022/7/10 15:00,30.8,0
2022/7/10 16:00,30.4,0
2022/7/10 17:00,29.9,0
2022/7/10 18:00,28.9,0
2022/7/10 19:00,28.4,0
2022/7/10 20:00,28.2,0
2022/7/10 21:00,28,0
2022/7/10 22:00,27.5,0
2022/7/10 23:00,27.1,0
2022/7/11 0:00,27.1,0
2022/7/11 1:00,27.3,0
2022/7/11 2:00,27.1,0
2022/7/11 3:00,26.8,0
2022/7/11 4:00,26.5,0
2022/7/11 5:00,26.5,0
2022/7/11 6:00,26.8,0
2022/7/11 7:00,27.4,0.15
2022/7/11 8:00,28.8,0.515
2022/7/11 9:00,30.4,0.431
2022/7/11 10:00,30.9,0.412
2022/7/11 11:00,31.3,0.438
2022/7/11 12:00,31.4,0.444
2022/7/11 13:00,29.2,0.448
2022/7/11 14:00,31.5,0.425
2022/7/11 15:00,31.2,0.393
2022/7/11 16:00,31.6,0.382
2022/7/11 17:00,29.7,0.343
2022/7/11 18:00,29.1,0.335
2022/7/11 19:00,28.4,0.291
2022/7/11 20:00,28.6,0.121
2022/7/11 21:00,28.4,0
2022/7/11 22:00,28.1,0
2022/7/11 23:00,28,0
2022/7/12 0:00,28.6,0
2022/7/12 1:00,28.2,0
2022/7/12 2:00,27.9,0
2022/7/12 3:00,27.5,0
2022/7/12 4:00,27.5,0
2022/7/12 5:00,27.5,0
2022/7/12 6:00,27.4,0
2022/7/12 7:00,27.7,0.103
2022/7/12 8:00,28.1,0.491
2022/7/12 9:00,28.5,0.445
2022/7/12 10:00,28.9,0.44
2022/7/12 11:00,28.3,0.425
2022/7/12 12:00,29.4,0.431
2022/7/12 13:00,29.2,0.454
